product_id,product_name,category,brand,cost_price,competitor_price,our_historical_price,discount_pct,rating,page_views,conversion_rate,units_sold_last_30d,forecast_demand,inventory_on_hand,shipping_cost,optimal_price
PROD0483,Product 483,Electronics,BrandD,954.645,5168.26,5284.51,2.85,5.0,1824.0,0.1016,219,204.79,175.0,200.89,5934.43
PROD0884,Product 884,Home,BrandA,1276.81,1657.22,1587.25,12.43,4.3,4263.0,0.0651,306,333.81,734.0,75.37,1602.44
PROD0650,Product 650,Fashion,BrandA,920.81,1221.78,1223.88,9.25,4.7,7656.0,0.0836,900,846.81,995.0,45.48,1295.89
PROD0244,Product 244,Home,BrandB,1557.06,2160.23,2238.96,14.67,1.2996281088448742,7591.0,0.081,600,624.89,798.0,69.41,2231.71
PROD0847,Product 847,Electronics,BrandB,2570.03,3159.36,3195.99,7.49797215405815,4.7,3677.0,0.01,38,34.43,84.0,150.33,2975.75
PROD0982,Product 982,Books,BrandE,473.84,595.36,578.21,8.51,4.2,7911.0,0.0761,656,614.8,1425.0,26.8,542.24
PROD0828,Product 828,Books,BrandB,404.93,573.89,566.22,0.92,4.1,3125.0,0.1046,326,326.11,178.0,19.08,665.76
PROD0570,Product 570,Fashion,BrandD,1039.88,1323.99,1358.85,14.66,4.5,2416.0,0.0836,173,164.67,88.0,42.34,1533.17
PROD0059,Product 59,Electronics,BrandA,3504.89,4497.74,4371.85,5.32,4.4,4643.0,0.0806,382,409.55,643.0,153.13,4556.48
PROD0290,Product 290,Fashion,BrandC,845.24,1167.22,1188.53,14.38,2.832033565963207,7708.0,0.059,405,420.58,406.0,44.38,1154.57
PROD0070,Product 70,Home,BrandB,1463.71,1789.8,1714.23,0.06,3.8,8093.0,0.0536,0,543.81,1022.0,73.81,1729.0
PROD0344,Product 344,Books,BrandB,402.83,576.38,601.44,22.73,3.5,2960.0,0.0444,124,121.35,192.0,17.4,554.14
PROD0184,Product 184,Fashion,BrandB,955.41,1353.36,1322.44,10.06,3.581668821446669,5975.0,0.1172,811,824.51,452.0,44.72,1458.3
PROD0141,Product 141,Toys,BrandD,519.26,666.05,685.17,24.37,3.1,8463.0,0.01,76,70.78,156.0,21.25,579.5
PROD0390,Product 390,Toys,BrandB,570.26,737.29,769.57,16.93,2.8,2614.0,0.0764,229,210.2,405.0,25.9,674.05
PROD0491,Product 491,Home,BrandB,954.645,1832.48,1890.12,13.295,4.5,3218.0,0.0441,131,121.89,125.0,60.86,1942.24
PROD0826,Product 826,Fashion,BrandB,791.01,1056.15,1048.11,12.73,3.086698486528298,9536.0,0.1064,885,924.67,1964.0,42.38,978.09
PROD0101,Product 101,Home,BrandB,1358.39,1846.96,1777.84,3.32,3.4,1964.0,0.1002,214,199.28,452.0,80.51,1882.39
PROD0749,Product 749,Toys,BrandC,552.8,733.67,723.43,11.895,5.0,8544.0,0.1147,1100,1019.09,1964.0,26.93,730.54
PROD0551,Product 551,Books,BrandB,954.645,568.06,589.78,14.56,3.9,8463.0,0.0373,366,348.77,670.0,19.2,537.52
PROD0306,Product 306,Books,BrandC,350.91,476.89,485.39,94.14710684875386,3.8,8799.0,0.0684,616,661.58,822.0,18.35,491.16
PROD0986,Product 986,Toys,BrandB,512.03,660.06,677.79,10.69,4.356520609930459,5074.5,0.1036,1062,966.83,2102.0,30.09,636.68
PROD0321,Product 321,Books,BrandE,385.73,499.59,520.17,1.52,3.3,3258.0,0.1027,323,349.36,344.0,16.13,507.27
PROD0799,Product 799,Fashion,BrandA,954.645,888.46,851.67,21.08,4.2,6965.0,0.807781253982492,686,693.48,1179.0,39.31,903.7
PROD0730,Product 730,Electronics,BrandA,2437.7,2941.07,2946.96,17.0,3.9,7461.0,0.0836,408,421.64,417.0,132.44,3205.25
PROD0677,Product 677,Toys,BrandD,705.36,1034.25,1011.81,76.55438815439803,3.5,6764.0,0.0718,548,526.61,1306.0,29.28,921.5
PROD0653,Product 653,Sports,BrandC,870.11,1206.99,1214.53,14.045000000000002,4.6,2580.0,0.1622,401,395.23,893.0,51.53,1146.83
PROD0076,Product 76,Toys,BrandA,459.41,605.27,582.53,23.91,3.5,5926.0,0.1121,792,852.86,1451.0,26.68,612.64
PROD0192,Product 192,Toys,BrandE,543.05,772.06,750.69,16.05,1.3398365009960662,6663.0,0.1535,1042,318.64,2075.0,27.66,798.6
PROD0086,Product 86,Books,BrandE,351.61,510.53,524.46,5.75,4.3,8587.0,0.0897,913,960.49,1329.0,16.26,539.39
PROD0458,Product 458,Home,BrandD,954.645,2559.34,2657.22,5.09,3.7,3214.0,0.0836,354,385.2,229.0,85.68,2950.35
PROD0620,Product 620,Electronics,BrandD,2833.93,3954.33,4060.3,24.02,3.2,4463.0,0.08,353,381.03,491.0,167.39,3914.16
PROD0918,Product 918,Sports,BrandD,1312.77,1937.19,1917.94,4.81,1.0,5759.0,0.0621,350,325.47,452.0,59.82,2012.94
PROD0569,Product 569,Electronics,BrandA,954.645,3148.12,3035.06,15.62,4.2,2860.0,0.0856,289,263.76,449.0,98.54,3189.91
PROD0309,Product 309,Toys,BrandE,578.35,805.75,796.15,27.150990421613837,4.7,3893.0,0.0883,304,300.51,179.0,32.62,937.98
PROD0743,Product 743,Toys,BrandA,485.85,602.15,607.66,15.82,4.3,4400.0,0.1167,0,434.75,934.0,20.82,551.24
PROD0398,Product 398,Toys,BrandE,759.47,1050.44,1085.62,17.76,4.3,2823.0,0.0587,174,168.47,420.0,34.38,944.62
PROD0616,Product 616,Books,BrandC,282.08,416.99,398.9,12.934999999999999,5.0,8250.0,0.0792,752,750.15,1321.0,11.73,432.95
PROD0049,Product 49,Fashion,BrandD,764.21,1033.43,1006.81,14.62,2.8,5854.0,0.1119,564,561.87,879.0,31.36,937.73
PROD0199,Product 199,Home,BrandE,1907.61,2842.56,2812.08,21.36,3.4,2397.0,0.1219,287,303.15,733.0,105.44,2540.87
PROD0598,Product 598,Books,BrandD,460.72,664.97,633.91,11.7,4.8,587.0,0.0985,65,65.63,58.0,21.35,751.05
PROD0969,Product 969,Home,BrandA,1645.55,2412.35,2464.77,3.28,3.4,7071.0,0.0836,521,562.35,340.0,48.095,2731.16
PROD0428,Product 428,Home,BrandD,1389.31,2069.34,2022.48,9.99,4.0,5076.0,0.0836,432,449.4,237.0,48.095,2368.06
PROD0497,Product 497,Sports,BrandA,1389.57,1724.39,1677.6,43.57309624460655,1.9,170.0,0.0284,5,4.86,7.0,74.41,1571.17
PROD0603,Product 603,Home,BrandA,1359.67,2038.33,2093.86,19.03,3.3,7484.0,0.06,427,424.71,747.0,79.07,1887.24
PROD0010,Product 10,Electronics,BrandD,954.645,4108.48,4298.48,6.29,2.5,2919.0,0.0789,187,191.1,287.0,113.02,3668.91
PROD0888,Product 888,Books,BrandE,514.7,684.71,660.78,11.65,4.7,4641.0,0.1001,482,459.57,823.0,30.74,672.23
PROD0670,Product 670,Home,BrandC,1727.16,2520.22,2558.33,21.41,3.7,8776.0,0.0482,372,340.62,707.0,97.95,2235.83
PROD0937,Product 937,Books,BrandB,319.39,388.49,381.87,11.54,3.5,2088.0,0.0413,95,99.04,452.0,15.25,381.64
PROD0928,Product 928,Sports,BrandE,1547.23,2185.6,2089.97,0.88,4.4,1919.0,0.0493,94,86.35,202.0,72.53,2037.19
PROD0557,Product 557,Books,BrandA,351.65,519.43,505.4,12.934999999999999,5.0,4429.0,0.1081,0,575.86,452.0,18.56,579.27
PROD0636,Product 636,Home,BrandD,1634.17,2132.71,2221.67,3.35,3.8,3798.0,0.0531,178,181.03,250.0,66.48,2083.52
PROD0833,Product 833,Electronics,BrandA,3875.12,5604.74,5568.29,80.23424657951558,3.6,3589.0,0.0687,0,213.18,452.0,182.84,5040.42
PROD0371,Product 371,Electronics,BrandD,954.645,3975.48,4028.98,15.53,3.8,5074.5,0.0836,149,318.64,186.0,158.22,3962.05
PROD0834,Product 834,Fashion,BrandE,987.05,1364.71,1426.16,24.97,2.8,8597.0,0.043,443,454.49,950.0,54.91,1240.31
PROD0582,Product 582,Books,BrandD,954.645,481.75,486.99,24.27,5.0,729.0,0.0387,27,29.5,46.0,15.38,496.11
PROD0333,Product 333,Home,BrandB,1544.02,1940.46,1983.22,12.78,3.3,8304.0,0.1718,1614,1681.59,452.0,87.66,2155.23
PROD0945,Product 945,Electronics,BrandD,2517.06,3429.65,3333.54,16.25,3.564068512328324,6352.0,0.0628,331,330.1,303.0,110.71,3701.24
PROD0210,Product 210,Home,BrandA,954.645,1435.33,1485.63,8.62,2.1445659631066034,6684.0,0.0616,355,327.94,452.0,61.96,1289.66
PROD0571,Product 571,Electronics,BrandA,2839.46,3423.0,3344.45,20.12,5.0,4527.0,0.1053,440,438.49,502.0,161.22,3636.26
PROD0457,Product 457,Home,BrandA,1631.04,2393.74,2449.48,12.71,3.093621048505994,6522.0,0.0836,912,936.4,731.0,48.095,2649.9
PROD0088,Product 88,Sports,BrandC,1413.69,1821.19,1896.2,24.19,3.9,112.0,0.0836,3,3.06,3.0,72.34,1911.47
PROD0879,Product 879,Fashion,BrandB,683.08,1002.33,1001.44,14.62,3.8,9447.0,0.0481,470,455.38,797.0,39.76,956.54
PROD0350,Product 350,Electronics,BrandA,2516.88,3661.25,3623.63,5.643191629144194,3.6,1203.0,0.1227,151,153.46,296.0,112.77,3429.38
PROD0218,Product 218,Fashion,BrandE,567.25,844.93,823.88,24.31711192686734,4.7,3197.0,0.1415,411,419.03,935.0,33.43,781.04
PROD0413,Product 413,Electronics,BrandD,2221.11,2843.91,2961.14,15.83,3.2,7221.0,0.7866127976914825,0,656.22,1150.0,95.33,2610.71
PROD0277,Product 277,Sports,BrandC,1113.32,1441.73,1410.83,2.28,3.8,7831.0,0.0764,574,567.56,1298.0,59.19,1272.53
PROD0959,Product 959,Fashion,BrandD,1034.27,1445.55,1426.1,11.76,3.3,6525.0,0.0293,220,206.1,449.0,43.89,1296.62
PROD0925,Product 925,Home,BrandD,1770.62,2364.9,2439.98,13.34,5.0,7205.0,0.029,213,194.11,163.0,80.93,2632.93
PROD0213,Product 213,Fashion,BrandA,635.49,821.65,804.4,21.79,4.8,2579.0,0.8064732227252747,283,287.06,621.0,36.94,785.27
PROD0096,Product 96,Home,BrandB,1871.13,2363.61,2392.67,13.295,3.5,7186.0,0.0958,801,749.69,731.0,111.2,2435.67
PROD0078,Product 78,Electronics,BrandA,3769.95,5649.17,5464.95,13.29,4.6,1623.0,0.1219,222,209.77,452.0,191.29,6259.32
PROD0703,Product 703,Fashion,BrandE,1033.46,1405.59,1351.21,20.71,4.6,9575.0,0.051,526,536.1,761.0,48.87,1470.18
PROD0136,Product 136,Fashion,BrandD,829.12,1145.05,1165.26,20.12,4.6,5032.0,0.058,242,220.63,257.0,46.18,1182.99
PROD0208,Product 208,Home,BrandD,1936.37,2761.8,2732.3,14.77,3.5,5490.0,0.0891,530,494.74,1019.0,100.06,2583.94
PROD0522,Product 522,Home,BrandA,1637.87,2136.95,2236.58,20.04,2.9,3798.0,0.116,470,429.77,435.0,88.9,2109.16
PROD0837,Product 837,Sports,BrandB,954.645,1792.66,1733.16,2.94,2.8,9846.0,0.1788,1801,1859.03,2166.0,70.38,1764.79
PROD0732,Product 732,Books,BrandD,410.05,503.29,512.29,18.13,4.0,7097.0,0.0836,518,486.27,497.0,20.61,527.95
PROD0260,Product 260,Fashion,BrandE,883.71,1262.71,1205.31,16.17,4.6,4736.0,0.8084862104479812,183,169.22,296.0,40.27,1281.76
PROD0467,Product 467,Home,BrandD,1763.29,2214.81,2118.84,90.45416690144845,4.8,5590.0,0.0836,413,448.2,232.0,73.19,2724.87
PROD0039,Product 39,Electronics,BrandA,3462.6,4203.83,4106.59,0.55,1.2,5074.5,0.0693,532,565.66,1377.0,144.63,3853.32
PROD0030,Product 30,Books,BrandE,398.66,485.28,487.68,11.04,3.8,1258.0,0.1122,0,126.28,219.0,16.75,451.81
PROD0697,Product 697,Sports,BrandA,1254.2,1554.29,1547.69,14.045000000000002,3.6,8403.0,0.0836,939,318.64,1492.0,65.77,1515.97
PROD0451,Product 451,Home,BrandD,1654.85,2334.41,2304.46,0.44,3.1,5699.0,0.0966,551,497.39,609.0,86.09,2297.44
PROD0054,Product 54,Sports,BrandC,1407.79,1753.41,1720.39,6.21,5.0,8779.0,0.0836,790,840.76,452.0,80.14,2005.1
PROD0023,Product 23,Fashion,BrandA,772.33,982.35,942.46,4.57,4.1,5215.0,0.1031,571,563.65,1104.0,31.63,948.49
PROD0361,Product 361,Home,BrandD,1592.22,2144.62,2150.77,8.36,2.9,8071.0,0.0836,589,540.11,741.0,84.65,1985.23
PROD0113,Product 113,Electronics,BrandA,2507.98,3276.68,3135.59,12.98,4.2,8812.0,0.0178,165,166.09,190.0,117.02,3474.82
PROD0109,Product 109,Sports,BrandD,1188.15,1713.08,1721.68,1.09,4.4,6055.0,0.0856,584,628.88,601.0,52.56,1914.93
PROD0506,Product 506,Books,BrandA,954.645,434.03,450.28,14.28,3.2,3047.0,0.0836,24,24.43,37.0,13.42,396.99
PROD0966,Product 966,Fashion,BrandA,638.82,777.32,747.86,23.25,2.0849620202790367,3393.0,0.0898,316,315.68,754.0,35.1,747.4
PROD0949,Product 949,Sports,BrandA,1377.67,1787.73,1817.8,17.92,4.4,312.0,0.0837,0,30.57,68.0,59.73,1714.02
PROD0003,Product 3,Toys,BrandA,513.16,717.79,704.27,13.0,2.9,9698.0,0.0879,945,1028.07,2353.0,26.66,653.5
PROD0275,Product 275,Fashion,BrandD,951.04,1315.81,1299.16,6.38,3.8,4190.0,0.0486,218,224.9,452.0,45.56,1469.3
PROD0656,Product 656,Fashion,BrandB,952.79,1326.53,1301.38,1.1350990382412824,2.541465232774343,2476.0,0.6835997397459487,96,88.48,209.0,48.095,1150.38
PROD0784,Product 784,Sports,BrandA,1469.95,2142.64,2121.98,17.56,1.0,3219.0,0.0874,0,282.17,340.0,85.01,2269.72
PROD0854,Product 854,Books,BrandB,396.24,486.29,468.24,5.99,3.6,2797.0,0.3842979540605833,341,356.13,885.0,16.89,428.01
PROD0759,Product 759,Books,BrandB,330.01,461.49,480.46,10.09,4.5,8724.0,0.0337,323,346.82,545.0,18.16,472.77
PROD0796,Product 796,Home,BrandE,1850.0,2576.08,2613.06,13.295,4.857405184979995,8674.0,0.0897,853,929.6,2212.0,88.15,2156.79
PROD0773,Product 773,Fashion,BrandD,639.68,825.37,828.62,19.41,3.1,2635.0,0.0249,59,64.3,113.0,27.58,772.11
PROD0394,Product 394,Fashion,BrandD,902.94,1203.97,1147.03,11.23,2.742629810340374,1333.0,0.0723,102,92.88,129.0,46.12,1217.17
PROD0486,Product 486,Electronics,BrandB,2838.53,3689.76,3551.38,13.29,3.1,2621.0,0.1147,360,337.53,268.0,119.14,3947.42
PROD0614,Product 614,Books,BrandB,397.08,513.97,498.66,23.82,3.0,2066.0,0.0713,134,147.38,152.0,18.49,515.14
PROD0877,Product 877,Sports,BrandD,1161.46,1417.63,1370.65,19.78,4.7,1759.0,0.1564,312,0.0,198.0,48.27,1754.15
PROD0174,Product 174,Fashion,BrandC,659.51,946.21,968.4,7.51,4.9,4668.0,0.0546,278,258.43,569.0,35.76,926.61
PROD0917,Product 917,Electronics,BrandC,2845.4,3938.59,3825.75,7.29,3.3,7952.0,0.0622,514,472.92,1131.0,118.26,3439.05
PROD0058,Product 58,Sports,BrandA,1461.73,2158.82,2151.41,12.02,4.1,425.0,0.0339562407569438,54,51.28,84.0,63.31,2122.65
PROD0265,Product 265,Sports,BrandA,904.07,1353.86,1359.41,14.045000000000002,3.9,2065.0,0.1081,193,182.96,351.0,41.1,1245.31
PROD0063,Product 63,Toys,BrandC,766.55,1137.05,1096.24,11.895,3.5,6369.0,0.0697,485,518.77,386.0,44.1,1264.17
PROD0789,Product 789,Sports,BrandC,1171.44,1604.8,1548.53,14.045000000000002,5.0,8007.0,0.0565,532,543.54,548.0,68.51,1836.83
PROD0261,Product 261,Electronics,BrandA,3532.81,5038.22,4894.88,8.4,4.951626657714666,9158.0,0.0723,579,627.91,1187.0,184.47,4949.78
PROD0100,Product 100,Books,BrandD,292.41,407.03,395.83,4.5,5.0,4034.0,0.1109,443,459.48,245.0,13.59,500.77
PROD0641,Product 641,Sports,BrandD,922.47,1193.97,1231.0,6.823155506419315,4.5,9872.0,0.0599,605,578.14,749.0,40.04,1251.91
PROD0299,Product 299,Home,BrandD,1752.31,2456.94,2522.66,7.69,5.0,2402.0,0.0785,167,168.71,261.0,79.98,2494.94
PROD0615,Product 615,Electronics,BrandD,2488.45,3104.57,3046.41,2.65,4.3,7995.0,0.0836,491,472.31,373.0,136.21,3446.51
PROD0178,Product 178,Fashion,BrandE,574.66,839.94,842.22,15.81,4.9,3400.0,0.0996,0,372.11,776.0,34.37,821.01
PROD0933,Product 933,Home,BrandD,1928.27,2526.26,2452.41,22.79,4.3,1587.0,0.0653,110,102.31,240.0,98.92,2311.1
PROD0778,Product 778,Books,BrandE,339.43,492.19,487.52,24.05,3.9,5602.0,0.0478,257,242.12,408.0,18.71,475.14
PROD0139,Product 139,Toys,BrandE,671.16,992.57,1020.62,1.4,3.5988760275525014,3831.0,0.1011,381,379.55,520.0,39.43,992.97
PROD0803,Product 803,Books,BrandB,954.645,410.44,418.51,69.76143804042191,4.7,202.0,0.0836,0,11.75,12.0,16.18,448.08
PROD0168,Product 168,Home,BrandE,1297.84,1676.68,1725.13,19.748560728574468,4.4,8589.0,0.0836,997,983.24,1118.0,67.03,1801.68
PROD0066,Product 66,Home,BrandD,1169.05,1718.7,1751.57,13.295,4.1,8169.0,0.0836,1081,987.42,1294.0,58.39,1748.84
PROD0256,Product 256,Books,BrandC,313.89,430.43,416.88,6.97,3.5,8274.0,0.0044469754434392,442,479.76,1170.0,16.14,372.25
PROD0067,Product 67,Books,BrandB,313.6,401.13,391.77,18.3,4.6,4993.0,0.0267,137,146.26,191.0,17.38,424.06
PROD0848,Product 848,Books,BrandB,496.56,713.6,706.98,12.934999999999999,3.5,5074.5,0.1146,816,849.86,1239.0,25.67,729.12
PROD0012,Product 12,Home,BrandA,1185.65,1603.54,1634.94,21.46,3.4482334748120413,7140.0,0.0527,422,409.23,283.0,69.73,1728.06
PROD0531,Product 531,Books,BrandD,373.69,495.04,493.51,57.2147949504905,3.8,5074.5,0.0547,389,372.37,528.0,16.39,488.09
PROD0319,Product 319,Sports,BrandE,935.77,1325.755,1219.93,21.99,3.5,6725.0,0.033,220,216.41,263.0,48.095,1171.71
PROD0984,Product 984,Home,BrandA,1336.39,1662.14,1737.74,1.91,4.0,8210.0,0.0431,392,426.32,333.0,48.095,1860.06
PROD0576,Product 576,Home,BrandD,1719.71,2479.38,2422.7,73.21991616810281,3.6,1216.0,0.1497,0,213.22,384.0,95.4,2395.51
PROD0334,Product 334,Books,BrandE,367.12,537.38,549.49,2.81,4.7,567.0,0.0711,47,48.68,85.0,16.67,551.71
PROD0286,Product 286,Toys,BrandE,544.13,708.02,694.71,3.05,4.2,8763.0,0.048,469,435.34,692.0,22.91,698.6
PROD0323,Product 323,Electronics,BrandD,3228.54,4657.23,4709.23,7.39,3.3,1729.0,0.0332,50,52.91,67.0,157.29,4573.58
PROD0890,Product 890,Fashion,BrandD,803.77,1205.25,1228.75,14.62,1.9717459808031903,252.0,0.0958,27,25.92,20.0,35.79,1350.14
PROD0536,Product 536,Books,BrandD,492.1,728.31,754.44,17.33,3.6,2205.0,0.0836,112,112.08,250.0,29.06,658.45
PROD0692,Product 692,Books,BrandD,500.19,739.88,722.9,10.01,3.7,6042.0,0.1161,594,541.29,716.0,25.8,713.58
PROD0649,Product 649,Electronics,BrandD,954.645,4625.53,4496.06,13.29,1.2487392215991444,5093.0,0.1341,673,639.81,966.0,48.095,4407.85
PROD0528,Product 528,Toys,BrandD,510.36,717.06,730.25,12.55,4.4,5839.0,0.098,599,572.99,1311.0,20.66,665.95
PROD0513,Product 513,Fashion,BrandC,608.45,905.73,919.55,11.4,2.7,9816.0,0.0417,349,336.07,494.0,30.16,825.97
PROD0585,Product 585,Toys,BrandC,775.21,1074.29,1090.5,4.97,4.6,9106.0,0.032,347,326.04,250.0,31.88,1253.37
PROD0002,Product 2,Sports,BrandA,873.44,1207.33,1167.55,1.63,3.5,1066.0,0.1179,134,0.0,98.0,43.59,1288.82
PROD0445,Product 445,Fashion,BrandE,892.41,1136.09,1185.13,2.62,4.1,5700.0,0.0103,47,49.64,60.0,42.95,1161.37
PROD0237,Product 237,Fashion,BrandB,935.34,1333.35,1373.75,12.95,4.3,6242.0,0.3253110586451731,0,290.47,452.0,54.07,1473.01
PROD0495,Product 495,Toys,BrandC,691.82,969.73,972.75,2.47,4.2,1804.0,0.6934627090964464,185,198.98,318.0,48.095,995.63
PROD0781,Product 781,Fashion,BrandC,596.83,735.24,734.89,1.6803996530214462,4.8,5989.0,0.0405,225,203.64,407.0,26.44,712.56
PROD0327,Product 327,Fashion,BrandD,660.65,986.33,1000.69,14.62,4.8,7682.0,0.052,429,468.95,603.0,28.15,1079.07
PROD0547,Product 547,Toys,BrandB,644.39,784.16,746.83,11.25,1.0,2700.0,0.01,23,318.64,36.0,28.36,743.13
PROD0858,Product 858,Toys,BrandB,954.645,981.53,996.68,2.0,4.6,5333.0,0.2489830611732253,316,311.5,697.0,37.12,969.42
PROD0529,Product 529,Books,BrandD,457.34,660.3,635.78,0.46,3.1,6297.0,0.1228,0,660.88,997.0,23.65,616.64
PROD0346,Product 346,Sports,BrandC,1093.68,1326.55,1283.98,9.81,3.7,9814.0,0.0908,848,894.68,1060.0,57.48,1330.54
PROD0021,Product 21,Electronics,BrandD,2169.9,2801.3,2811.69,8.17,3.6,9655.0,0.1469091569418954,1054,1126.1,1000.0,104.65,2991.05
PROD0583,Product 583,Fashion,BrandE,869.53,1140.98,1192.43,0.56,4.4,3277.0,0.0708,209,210.43,451.0,36.58,1085.26
PROD0593,Product 593,Electronics,BrandD,2147.6,2793.32,2926.29,21.84,4.7,8488.0,0.0104,86,0.0,50.0,107.83,3251.59
PROD0587,Product 587,Books,BrandE,445.36,610.19,621.39,0.07,5.0,4408.0,0.0605,314,311.96,701.0,25.04,614.17
PROD0993,Product 993,Toys,BrandC,594.82,796.97,809.29,2.59,4.2,5074.5,0.5949801077617038,396,372.61,695.0,32.89,754.94
PROD0231,Product 231,Books,BrandA,954.645,504.62,506.68,17.41,3.3,5051.0,0.1014,494,530.61,935.0,19.24,468.55
PROD0629,Product 629,Electronics,BrandA,3733.71,5428.55,5423.37,0.93,5.0,5074.5,0.0927,270,258.04,527.0,48.095,5260.0
PROD0601,Product 601,Sports,BrandA,1025.72,1382.11,1447.83,8.33,3.4,6099.0,0.0875,446,486.96,452.0,57.2,1269.33
PROD0662,Product 662,Sports,BrandD,1000.94,1217.85,1254.08,3.85,2.8,1352.0,0.1264,165,148.99,325.0,50.32,1085.14
PROD0633,Product 633,Toys,BrandB,570.01,749.92,752.49,87.70543054651529,3.5,6588.0,0.085,450,475.2,871.0,26.32,682.02
PROD0915,Product 915,Toys,BrandD,636.24,857.25,831.06,11.895,3.4,3810.0,0.0836,74,72.97,105.0,34.92,829.72
PROD0314,Product 314,Sports,BrandB,1384.87,1944.58,1879.65,1.48,4.9,565.0,0.1169,77,70.7,75.0,74.02,2107.24
PROD0106,Product 106,Books,BrandE,361.9,475.56,470.75,14.5,4.958236899719308,7672.0,0.109,940,981.01,2365.0,14.61,455.4
PROD0823,Product 823,Fashion,BrandE,708.01,1037.48,1055.77,14.62,5.0,8845.0,0.0862,659,637.86,746.0,28.92,1097.33
PROD0055,Product 55,Books,BrandE,396.73,524.74,539.01,0.31,5.0,7190.0,0.0836,1195,1273.1,452.0,18.59,497.88
PROD0120,Product 120,Toys,BrandD,578.22,712.2,722.23,5.4,5.0,1605.0,0.1904789765303122,170,179.55,254.0,23.8,750.86
PROD0370,Product 370,Books,BrandD,315.51,471.81,458.09,3.26,2.209865852831607,4312.0,0.0521,230,207.97,118.0,48.095,551.99
PROD0025,Product 25,Sports,BrandD,1290.62,1743.55,1805.71,16.47,3.8,5899.0,0.0824,571,579.62,739.0,48.095,1814.24
PROD0072,Product 72,Fashion,BrandE,787.14,1018.45,979.8,18.28,3.8,4275.0,0.0738,352,369.25,225.0,38.65,1174.38
PROD0044,Product 44,Fashion,BrandD,946.98,1348.95,1306.39,5.23,3.8,6220.0,0.01,58,57.57,114.0,38.57,1239.52
PROD0296,Product 296,Home,BrandA,1548.92,1927.58,1848.95,20.38,4.1,8141.0,0.117,908,938.19,2324.0,68.95,1721.89
PROD0328,Product 328,Books,BrandB,418.01,527.55,527.79,12.934999999999999,5.0,7477.0,0.0421,280,274.7,285.0,18.38,573.52
PROD0247,Product 247,Electronics,BrandE,954.645,4638.52,4724.51,0.62,3.9,4603.0,0.0293,144,155.81,277.0,224.93,4635.05
PROD0336,Product 336,Books,BrandA,954.645,468.19,456.49,95.300398829183,4.8,4209.0,0.1481,604,638.44,569.0,17.67,526.35
PROD0351,Product 351,Books,BrandB,408.29,513.89,496.74,12.934999999999999,3.1,7622.0,0.0209,149,162.47,321.0,21.21,475.21
PROD0960,Product 960,Books,BrandD,954.645,462.91,461.03,1.94,4.4,6930.0,0.0613,487,515.92,615.0,17.41,497.69
